"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_TNFAIP3orf_unt_24h1","fpool2_TNFAIP3orf_unt_24h2","fpool2_TNFAIP3orf_unt_24h3","fpool_TNFAIP3orf_unt_24h1","fpool_TNFAIP3orf_unt_24h2","fpool_TNFAIP3orf_unt_24h3"
"CAMKMT",4.44148406336411,3.85809414542239,3.86225610314086,3.81824148392178,4.20093816100153,4.26292652757679,4.22479078248209,4.1055472216165,4.2607394993079,4.4389738813352,4.13132919895751,4.39583352944756
"CAMLG",17.283166246569,16.1872210884027,16.9903003222676,19.1616546794599,19.1450398356471,17.6997861567293,16.8817053167776,17.0313205217207,16.2670825945798,21.125536762993,19.6517280815276,19.3782099109877
"CAMSAP1",60.3033379714243,59.6830389974473,61.4334444950293,68.8833306822642,63.6027389089213,67.5875479524253,64.2971258342212,61.8268609783493,60.7023874345841,74.3310528364757,69.2835072419766,70.0538947309028
"CAMSAP2",158.863516933082,152.629559257384,146.094823582188,176.94942729363,190.527262263767,169.16329389499,154.51910419731,157.874737225306,163.893815987266,185.64112058357,165.378782697458,173.995474347742
"CAMSAP3",27.6466290610853,27.5937603009558,28.2869461075106,24.4733780722219,20.1484486320647,25.0878986859418,27.6706338439426,26.8017919512056,27.6948067455013,24.9055033174073,26.3651380298336,25.2894774933744
"CAMTA1",19.4180824992489,19.1898247928836,17.02656563779,15.7379178507034,15.5729045204006,15.9715726996036,17.8942584795213,18.3226795884606,16.9903562750179,15.1944708207048,15.0039827327004,14.659943604319
"CAMTA2",43.0416281696058,47.0016512846676,46.0025527402271,45.6920927393297,44.6985171844144,47.3530487252449,47.6249142752527,44.9539146817949,45.6319940203654,51.3404009972914,43.1277271107389,45.0008679408238
"CAND1",153.059548628057,143.72239407817,146.765731919353,161.648282454002,166.030708847226,157.339433492488,145.056969469602,150.699166562006,150.164766489497,147.020804405903,165.727712528451,159.249548669498
"CAND2",4.38784295148773,4.22712923759323,3.84412344537964,4.97357654547745,5.09731668580122,4.55096210376442,4.27716422193435,4.8365051839221,4.98401317974596,4.53844668539874,5.3037334310941,4.95471700996413
"CANT1",94.0221408969156,94.6575011418199,92.4040239512012,72.8847350417985,70.1449642615638,73.924330628553,89.7157017817168,86.3626832464075,86.595585194267,67.6290726626951,71.1258567496198,71.9347525980258
"CANX",564.218671160496,555.833946098767,557.252838317958,476.223476592458,495.991657461178,459.7911902683,516.087872362544,536.498779066906,538.549582454186,416.380723709445,436.622876118202,444.731529621053
"CAP1",424.279738497401,432.576225313707,430.940744353267,441.154830638653,447.520323202233,432.903069231185,423.334511092596,424.759671895789,423.996181903349,420.558581480114,412.574632166162,440.045506592107
"CAP2",6.30819475666207,5.73681825101939,6.1651036388164,5.12856051714955,5.33813479694143,4.99741724685523,5.48175332933627,5.60401104434299,5.4837295407759,4.8244309970814,4.66170254206692,5.33088858338873
"CAPG",92.7454824342578,95.0936335234763,96.6833311828502,87.7068385144395,87.4838682636593,89.8094926553003,96.402044218455,96.9981215979541,95.7877361511072,118.447241438653,101.496709239253,103.79111098747
