"","fpool2_eGFPorf_TNF_24h1","fpool2_eGFPorf_TNF_24h2","fpool2_eGFPorf_TNF_24h3","fpool_eGFPorf_TNF_24h1","fpool_eGFPorf_TNF_24h2","fpool_eGFPorf_TNF_24h3","fpool2_TNFAIP3orf_TNF_24h1","fpool2_TNFAIP3orf_TNF_24h2","fpool2_TNFAIP3orf_TNF_24h3","fpool_TNFAIP3orf_TNF_24h1","fpool_TNFAIP3orf_TNF_24h2","fpool_TNFAIP3orf_TNF_24h3"
"C4orf46",14.2990954895011,12.3250942634638,11.9820205480687,12.9480736854036,12.956890841149,13.2541081801565,13.3012623301163,13.4059594072266,12.9040883558252,12.3735820440898,11.6570989463049,9.56181813672445
"C4orf48",12.869185940551,12.8478362444778,12.8662552195305,8.3781653258494,8.91478386933755,8.66345613887735,12.2924992064889,10.8309852113607,10.1919841096879,7.89552378051442,8.11233207921942,8.33728011921478
"C5",1.82143240163883,2.00965250478722,1.99913925721788,1.39147850691555,1.71651117981034,1.70749862510991,1.83018452429553,1.77029475965777,1.65835673649159,3.52221541784142,3.47471218591782,2.86594004098008
"C5orf15",23.0658028431834,20.9445287059616,20.9268872245949,26.8042701858469,25.2216400775357,24.5487917085475,22.5098285586584,20.7929166316167,21.9386776598367,26.2136627008124,24.7293024521974,24.425625349262
"C5orf17",4.35781957775272,3.86829065950372,4.07516848586722,2.65113273422857,2.18716747104865,2.4912684858161,3.67477995035717,3.57277669676386,4.4395591799827,2.71040368584823,2.95630754527685,3.02226404321536
"C5orf22",18.1632558182115,16.4257146923071,16.0828190244131,20.1691147791864,20.7227196465812,19.412299942848,17.5524783511178,18.1052873146817,17.0845292957311,19.2085130779679,18.9567967239791,18.7197992676744
"C5orf24",30.9813735605858,27.0431851511251,28.2570645010604,30.4074671616492,29.2360613851567,29.909217720163,32.1074891348854,27.8419084927995,30.1613631449408,31.1761892560611,31.3985080993622,29.2586424183694
"C5orf28",6.24734291029394,5.71531232575324,7.04824738121688,7.3235710890292,6.53381674895547,7.207883540423,6.75871292830397,6.43743548966462,6.47795600192028,6.76946234581419,6.44503066742821,7.3081471044992
"C5orf30",10.1966169026323,9.49067107752113,9.53435645750065,9.30093528306708,8.9009410372423,9.08333284996995,11.0099289493054,10.0102121864285,11.7121444514719,7.85624256767604,8.16837582415358,7.46447110673448
"C5orf34",4.06843312141758,4.18193584811213,4.42117335730877,4.7163797813348,4.92804822590709,5.02452464274147,3.77565626271992,4.20042665700616,4.38773553196733,4.59590190209048,4.72168551070284,4.42918006333285
