"","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3","fpool_TNFAIP3orf_IL17_1h1","fpool_TNFAIP3orf_IL17_1h2","fpool_TNFAIP3orf_IL17_1h3","fpool2_TNFAIP3orf_IL17_1h1","fpool2_TNFAIP3orf_IL17_1h2","fpool2_TNFAIP3orf_IL17_1h3"
"E2F3",32.7717963010265,34.3547007365026,34.5580519355772,37.0495981002272,38.5280475581548,37.3081517468133,39.099777268489,37.8644289323001,38.0034650826555,37.9026429044833,40.2232234363429,39.0849117124614
"E2F4",63.0267186461341,60.6952100532753,60.7940404881381,66.4644681443397,64.3391842429253,67.8183587452867,68.5978370811719,69.4030582816383,69.4515879363013,65.1642347424149,66.966621097424,67.3274765516672
"E2F5",3.17755336934753,3.02961587193783,3.30147584913089,1.86853765044487,1.8586254353408,1.83641161448045,4.07495569000709,3.28339121210876,3.59156834818796,1.90367427337392,2.0904542646128,2.02565351529908
"E2F6",13.2450491930229,14.0734231636056,13.0105497959833,14.1308159814893,13.8348810600556,13.4186918847562,14.9470034621313,15.2421647094223,14.9502682461157,13.3745320744732,13.9844181839615,13.1740343728803
"E2F7",45.9539236451514,47.4563603185432,48.0765210929653,49.0053194729955,48.5897792381953,47.1345647716648,46.8372437406078,43.346788570867,44.3982087269902,54.9258840029231,55.1627629653431,53.2061941320643
"E2F8",4.78206051624578,4.74449278058189,5.28431489461483,5.15307648911749,5.91126736202376,5.57367033868627,5.51026396948327,6.44629100358967,6.19034544565729,6.72387515787839,7.1904418239699,6.86390507702062
"E4F1",21.8968034164939,20.589955416453,20.4046835764332,22.656019011644,23.141982864093,23.1645605405516,22.2060338410912,21.8089471336398,22.6444004391851,22.4413909534272,21.5713254719097,23.6957742149374
"EAF1",36.0647063933536,36.3325254378054,36.2380929002237,30.1739634646058,31.8342010654613,31.4284128057136,36.8230813769061,36.3432247468735,36.9522743466005,33.9488578751682,31.6271313309954,33.4305695258711
"EAF2",1.64645504616357,1.2690089123966,1.45538432402516,1.54738274177466,1.49528512467268,1.33703652633226,1.69927302052927,1.73206417152526,1.64978546075301,1.72062867016489,1.63992532827384,1.79248476533659
"EAPP",9.66899078065485,10.19780135007,10.5197913890946,9.12371899631284,8.30092863603336,8.58602974138665,10.7895587905451,10.8592892840845,10.6725059452252,8.81059503446135,9.35298071839694,9.21016562351811
"EARS2",31.639203020863,30.8220543046958,31.5105357671487,33.7212654103722,32.6307548234645,34.1508124798118,29.0196237195241,31.0566636668269,30.0027355915701,34.1929186794469,34.3663472639364,33.0079511665641
"EBAG9",7.81279623816471,8.26570669966435,9.42581122606897,8.0142747663612,8.72016745603505,7.73225942939136,8.14991138001417,7.95243376143773,8.83292215712892,8.66415855189412,7.51482265813396,7.9131644518518
"EBLN2",3.43972773975574,3.49834889363388,3.19403136883373,2.7444146740909,2.89274785801163,2.86737953839929,2.47466944737272,2.48513555044929,3.09517272282865,3.02635397305597,2.75723709039447,2.95832851514901
